file_name,catalogue_no,title,author,author_id,tōh.,CBETA number,Remarks Chinese translation,url,archive.org,reconstructed (y/n),best_text,duplicate_of_standard
kāṇhapādasya_dohākoṣa_book_344.xml,book_344,Kāṇhapādasya Dohākoṣa,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/344,,,,
guhyāvalī_book_343.xml,book_343,Guhyāvalī,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/343,,,,
guhyavajravilāsinīsādhana_book_342.xml,book_342,Guhyavajravilāsinīsādhana,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/342,,,,
vasudhārāstotra_book_219.xml,book_219,Vasudhārāstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/219,,,,
vasudhārānāmadhāraṇīstotra_book_218.xml,book_218,Vasudhārānāmadhāraṇīstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/218,,,,
vajrayoginīstutipraṇidhāna_book_217.xml,book_217,Vajrayoginīstutipraṇidhāna,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/217,,,,
vajrayoginīpiṇḍārthastuti_book_216.xml,book_216,Vajrayoginīpiṇḍārthastuti,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/216,,,,
vajrayoginīpraṇāmaikaviśikā_book_215.xml,book_215,Vajrayoginīpraṇāmaikaviśikā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/215,,,,
vajravilāsinīstotra_book_214.xml,book_214,Vajravilāsinīstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/214,,,,
vajravilāsinīsādhanāstava_book_213.xml,book_213,Vajravilāsinīsādhanāstava,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/213,,,,
vajradevīstotra_book_212.xml,book_212,Vajradevīstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/212,,,,
kalyāṇatriṃśatikāstotra_book_211.xml,book_211,Kalyāṇatriṃśatikāstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/211,,,,
vajrasattvastuti_book_210.xml,book_210,Vajrasattvastuti,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/210,,,,
vajrasattvastotra_book_209.xml,book_209,Vajrasattvastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/209,,,,
māravijayastotra_book_208.xml,book_208,Māravijayastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/208,,,,
mahābodhivandanāṣṭaka_book_207.xml,book_207,Mahābodhivandanāṣṭaka,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/207,,,,
mahābodhibhaṭṭārakastotra_book_206.xml,book_206,Mahābodhibhaṭṭārakastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/206,,,,
vajrapāṇināmāṣṭottaraśatastotra_book_205.xml,book_205,Vajrapāṇināmāṣṭottaraśatastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/205,,,,
vāgīśvaravarṇanāstotra_book_204.xml,book_204,Vāgīśvaravarṇanāstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/204,,,,
dharmadhātuvāgīśvaramaṇḍalastotra_book_203.xml,book_203,Dharmadhātuvāgīśvaramaṇḍalastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/203,,,,
mahogratārāstuti_book_202.xml,book_202,Mahogratārāstuti,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/202,,,,
mahogratārāṣṭakastotra_book_201.xml,book_201,Mahogratārāṣṭakastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/201,,,,
caṇḍikādaṇḍakastotra_book_200.xml,book_200,Caṇḍikādaṇḍakastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/200,,,,
gururatnatrayastotra_book_199.xml,book_199,Gururatnatrayastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/199,,,,
svayambhūstotra_book_198.xml,book_198,Svayambhūstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/198,,,,
svayaṃbhūstava_book_197.xml,book_197,Svayaṃbhūstava,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/197,,,,
mañjuvajrastotra_book_196.xml,book_196,Mañjuvajrastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/196,,,,
maṅgalaṣoḍaśastuti_book_195.xml,book_195,Maṅgalaṣoḍaśastuti,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/195,,,,
kalyāṇapañcaviṃśatistotra_book_194.xml,book_194,Kalyāṇapañcaviṃśatistotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/194,,,,
ṣaḍabhijñastotra_book_193.xml,book_193,Ṣaḍabhijñastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/193,,,,
kamalākarasarvatathāgatastotra_book_192.xml,book_192,Kamalākarasarvatathāgatastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/192,,,,
saptajinastava_book_190.xml,book_190,Saptajinastava,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/190,,,,
saptabuddhastotra_book_189.xml,book_189,Saptabuddhastotra,,,,T32n1682,,https://www.dsbcproject.org/canon-text/book/189,,,,
suprabhātastotra_book_188.xml,book_188,Suprabhātastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/188,,,,
sattvārādhanagāthā_book_187.xml,book_187,Sattvārādhanagāthā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/187,,,,
śākyasiṃhastotra_yaśodharākṛta_book_186.xml,book_186,Śākyasiṃhastotra (Yaśodharākṛta),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/186,,,,
śākyasiṃhastotra_viṣṇukṛta_book_185.xml,book_185,Śākyasiṃhastotra (Viṣṇukṛta),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/185,,,,
śākyasiṃhastotra_surapatikṛta_book_184.xml,book_184,Śākyasiṃhastotra (Surapatikṛta),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/184,,,,
śākyasiṃhastotra_śaṅkarakṛta_book_183.xml,book_183,Śākyasiṃhastotra (Śaṅkarakṛta),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/183,,,,
śākyasiṃhastotra_navagrahakṛta_book_182.xml,book_182,Śākyasiṃhastotra (Navagrahakṛta),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/182,,,,
śākyasiṃhastotra_chandomṛtoddhṛtam_book_180.xml,book_180,Śākyasiṃhastotra (Chandomṛtoddhṛtam),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/180,,,,
śākyasiṃhastotra_brahmaṇā_kṛtam_book_179.xml,book_179,Śākyasiṃhastotra (Brahmaṇā Kṛtam),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/179,,,,
nāmāṣṭaśatakaya_book_178.xml,book_178,Nāmāṣṭaśatakaya,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/178,,,,
buddhastotra_book_177.xml,book_177,Buddhastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/177,,,,
buddhagadyaya_book_176.xml,book_176,Buddhagadyaya,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/176,,,,
buddhabhaṭṭārakastotra_book_175.xml,book_175,Buddhabhaṭṭārakastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/175,,,,
bhaktiśataka_book_174.xml,book_174,Bhaktiśataka,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/174,,,,
pratisarāstotra_book_169.xml,book_169,Pratisarāstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/169,,,,
pañcarakṣādevīstotrāṇi_book_168.xml,book_168,Pañcarakṣādevīstotrāṇi,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/168,,,,
sragdharāpañcakastotra_book_166.xml,book_166,Sragdharāpañcakastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/166,,,,
pañcatathāgatastutigāthā_book_165.xml,book_165,Pañcatathāgatastutigāthā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/165,,,,
pañcatathāgatastotra_book_164.xml,book_164,Pañcatathāgatastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/164,,,,
nairātmāṣṭakastotra_book_163.xml,book_163,Nairātmāṣṭakastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/163,,,,
guhyeśvarīstotra_book_162.xml,book_162,Guhyeśvarīstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/162,,,,
mañjuśrīstotra_book_161.xml,book_161,Mañjuśrīstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/161,,,,
mañjuśrīnāmāṣṭottaraśatakastotra_book_160.xml,book_160,Mañjuśrīnāmāṣṭottaraśatakastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/160,,,,
vajramahākālastotra_book_159.xml,book_159,Vajramahākālastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/159,,,,
mahākālastotra_book_158.xml,book_158,Mahākālastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/158,,,,
mahācakravartināmāṣṭottaraśatastotra_book_157.xml,book_157,Mahācakravartināmāṣṭottaraśatastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/157,,,,
hāratīstotra_book_152.xml,book_152,Hāratīstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/152,,,,
gaṇeśastotra_book_151.xml,book_151,Gaṇeśastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/151,,,,
gaṇḍīstava_book_150.xml,book_150,Gaṇḍīstava,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/150,,,,
buddhagaṇḍīstava_book_149.xml,book_149,Buddhagaṇḍīstava,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/149,,,,
pañcākṣarastotra_book_148.xml,book_148,Pañcākṣarastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/148,,,,
dharmadhātunāmastava_book_147.xml,book_147,Dharmadhātunāmastava,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/147,,,,
vasantatilakāstuti_book_146.xml,book_146,Vasantatilakāstuti,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/146,,,,
ṣaṭtriṃśatsaṃvarastuti_book_145.xml,book_145,Ṣaṭtriṃśatsaṃvarastuti,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/145,,,,
pīṭhastava_book_144.xml,book_144,Pīṭhastava,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/144,,,,
catuḥṣaṣṭisaṃvarastotra_book_143.xml,book_143,Catuḥṣaṣṭisaṃvarastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/143,,,,
cakrasaṃvarastuti_book_142.xml,book_142,Cakrasaṃvarastuti,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/142,,,,
vidyākṣarastotra_book_141.xml,book_141,Vidyākṣarastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/141,,,,
caityavandanāstotra_book_140.xml,book_140,Caityavandanāstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/140,,,,
daśabhūmīśvaranāmamahāyānasūtraratnarājastotra_book_139.xml,book_139,Daśabhūmīśvaranāmamahāyānasūtraratnarājastotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/139,,,,
vāgvāṇīstotra_book_138.xml,book_138,Vāgvāṇīstotra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/138,,,,
