xml filename,htm filename,Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive,DSBC
sa_apohasiddhi.xml,bsa0551u.htm,T11bsa0551u,D4256,D4256,,Not found.,Apohasiddhi,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa0551u.htm,,,y
sa_azvaghoSa-vajrasUcI.xml,bsa020_u.htm,T11bsa020_u,,,T32n1642,Doubtful whether this is the correct text.,Vajrasūcī,,Aśvaghoṣa,P7612,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa020_u.htm,,https://archive.org/search.php?query=Vajras%C5%ABc%C4%AB,y
sa_AlambanaparIkSA-comm.xml,bsa002_u.htm,T11bsa002_u,T11D4206,D4206,"T31n1619, T31n1624",,Ālambanaparīkṣāvṛtti,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa002_u.htm,,https://archive.org/search.php?query=%C4%80lambanapar%C4%ABk%E1%B9%A3%C4%81,y
sa_AlambanaparIkSA.xml,bsa001_u.htm,T11bsa001_u,T11D4205,D4205,"T31n1619, T31n1624",,Ālambanaparīkṣā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa001_u.htm,,https://archive.org/search.php?query=%C4%80lambanapar%C4%ABk%E1%B9%A3%C4%81,y
sa_arcaTa-hetubinduTIkA.xml,arhebt2u.htm,T11arhebt2u,T11D4235,D4235,,Not found.,Hetubinduṭīkā,,Arcaṭa,P0ER0028,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/arhebt2u.htm,,,y
sa_arcaTa-hetubinduTIkA-edsanghavi.xml,arhebt_u.htm,T11arhebt_u,T11D4235,D4235,,Not found.,Hetubinduṭīkā,,Arcaṭa,P0ER0028,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/arhebt_u.htm,,,
sa_subhASitaratnakaraNDakathA.xml,subhrk_u.htm,T10subhrk_u,,,,Not found.,Subhāṣitaratnakaraṇḍakathā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/subhrk_u.htm,,,
,nrat_4_u.htm,T10nrat_4_u,"T10D4158, D4388","D4158, D4388",T32n1656,D4388 seems to be a back translation from the Tibetan into Sanskrit.,Ratnāvalī [Ratnamālā] 3,,Nāgārjuna,P4954,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/nrat_4_u.htm,,https://archive.org/search.php?query=Ratn%C4%81val%C4%AB&page=2,
,nrat_2_u.htm,T10nrat_2_u,"D4158, D4388","D4158, D4388",T32n1656,D4388 seems to be a back translation from the Tibetan into Sanskrit.,Ratnāvalī [Ratnamālā] 2,,Nāgārjuna,P4954,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/nrat_2_u.htm,,https://archive.org/search.php?query=Ratn%C4%81val%C4%AB&page=2,
"sa_nAgArjuna-ratnAvali1,2,4.xml",nrat_1_u.htm,T10nrat_1_u,"T10D4158, D4388","D4158, D4388",T32n1656,D4388 seems to be a back translation from the Tibetan into Sanskrit.,Ratnāvalī [Ratnamālā] 1,,Nāgārjuna,P4954,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/nrat_1_u.htm,,https://archive.org/search.php?query=Ratn%C4%81val%C4%AB&page=2,
sa_candragomin-ziSyalekha.xml,cansisyu.htm,T10cansisyu,"T10D4183, D4497","D4183, D4497",,Not found.,Śiṣyalekha,,Candragomin,P7599,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/cansisyu.htm,,,y
sa_nAgArjuna-bhavasaGkrAntiparikathA.xml,bsa067_u.htm,T10bsa067_u,T10D4162,D4162,T30n1574,,Bhavasaṃkrāntiparikathā,,Nāgārjuna,P4954,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa067_u.htm,Reconstructed,,y
sa_nAgArjuna-ratnAvalI.xml,bsa025_u.htm,T10bsa025_u,"T10D4158, D4388","D4158, D4388",T32n1656,,Ratnāvalī [Ratnamālā],,Nāgārjuna,P4954,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa025_u.htm,,https://archive.org/search.php?query=Ratn%C4%81val%C4%AB&page=2,y
,jatkstpu.htm,T09jatkstpu,,,,Not found.,Jātakastava,,Jñānayaśas,P0ER0006,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/jatkstpu.htm,,,
,hjatm_pu.htm,T09hjatm_pu,D4152,D4152,T03n0160,,Jātakamālā,,Haribhaṭṭa,P0ER0030,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/hjatm_pu.htm,,https://archive.org/search.php?query=J%C4%81takam%C4%81l%C4%81,
sa_gopadatta-jAtakamAlA.xml,gopjatmu.htm,T09gopjatmu,,,T03_0160,,Jātakamālā [Ajātaśatrvavadāna],,Gopadatta,P4CZ16843,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/gopjatmu.htm,,https://archive.org/search.php?query=J%C4%81takam%C4%81l%C4%81,
sa_kSemendra-avadAnakalpalatA.xml,bsu078_u.htm,T09bsu078_u,T09D4155-1,D4155,,Not found.,Bodhisattvāvadānakalpalatā,,Kṣemendra,P7847,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu078_u.htm,,,y
