Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive
GSP33ramvaspu,,,,,Vedārthasaṃgraha,,Rāmānuja,P0AT0235,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/ramvaspu.htm,,https://archive.org/details/VedarthaSangraha
GSP33rams11pu,,,,,"Śrībhāṣya: 1,1.3",,Rāmānuja,P0AT0235,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/rams11pu.htm,,https://archive.org/search.php?query=%C5%9Ar%C4%ABbh%C4%81%E1%B9%A3ya
GSP33ramgbhpu,,,,,Bhagavadgītābhāṣya,,Rāmānuja,P0AT0235,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/ramgbhpu.htm,,
GSP33nysu__4u,,,,,"Nyāyasudhā: Adhyāya 4, Pāda 1",,Jayatīrtha,P0AT0234,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/nysu__4u.htm,,https://archive.org/search.php?query=Ny%C4%81yasudh%C4%81
GSP33nysu__3u,,,,,Nyāyasudhā: Adhyāya 3,,Jayatīrtha,P0AT0234,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/nysu__3u.htm,,https://archive.org/search.php?query=Ny%C4%81yasudh%C4%81
GSP33nysu__2u,,,,,Nyāyasudhā: Adhyāya 2,,Jayatīrtha,P0AT0234,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/nysu__2u.htm,,https://archive.org/search.php?query=Ny%C4%81yasudh%C4%81
GSP33nysu__1u,,,,,Nyāyasudhā: Adhyāya 1,Pāda 1 incomplete,Jayatīrtha,P0AT0234,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/nysu__1u.htm,,https://archive.org/search.php?query=Ny%C4%81yasudh%C4%81
GSP33nabodhsu,,,,,Bodhasāra,,Narahari,P0AT0233,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/nabodhsu.htm,,https://archive.org/search.php?query=Bodhas%C4%81ra
GSP33mndvivpu,,,,,Vibhramaviveka,,Maṇḍana Miśra [Maṇḍanamiśra],P0AT0232,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/mndvivpu.htm,,https://archive.org/search.php?query=Vibhramaviveka
GSP33mbrahsiu,,,,,Brahmasiddhi,,Maṇḍana Miśra [Maṇḍanamiśra],P0AT0232,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/mbrahsiu.htm,,https://archive.org/search.php?query=Brahmasiddhi
GSP33madhsiddhb_u,,,,,Siddhāntabindu,,Madhusūdanasarasvatī,P0AT0231,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/madhsiddhb_u.htm,,https://archive.org/search.php?query=Siddh%C4%81ntabindu
GSP33madhanuu,,,,,Anuvyākhyāna,,Madhva Ānandatīrtha,P0AT0136,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/madhanuu.htm,,
GSP33m_mbhtnu,,,,,Mahābhāratatātparyanirṇaya,,Madhva Ānandatīrtha,P0AT0136,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/m_mbhtnu.htm,,
GSP33gaukarpu,,,,,"Āgamaśāstra [Gauḍapādakārikā, Gauḍapādīyakārikā]",,Gauḍapāda,P0AT0116,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/gaukarpu.htm,,https://archive.org/search.php?query=%C4%80gama%C5%9B%C4%81stra; https://archive.org/details/GaudapadaKarika/mode/2up
GSP33brsvbh4u,,,,,Brahmasūtra: Adhyāya 4,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brsvbh4u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brsvbh3u,,,,,Brahmasūtra: Adhyāya 3,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brsvbh3u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brsvbh2u,,,,,Brahmasūtra: Adhyāya 2,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brsvbh2u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brsvbh1u,,,,,Brahmasūtra: Adhyāya 1,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brsvbh1u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brssgo4u,,,,,Brahmasūtra: Adhyāya 4,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brssgo4u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brssgo3u,,,,,Brahmasūtra: Adhyāya 3,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brssgo3u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brssgo2u,,,,,Brahmasūtra: Adhyāya 2,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brssgo2u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brssgo1u,,,,,Brahmasūtra: Adhyāya 1,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brssgo1u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brssbh4u,,,,,Brahmasūtra: Adhyāya 4,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brssbh4u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brssbh3u,,,,,Brahmasūtra: Adhyāya 3,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brssbh3u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brssbh2u,,,,,Brahmasūtra: Adhyāya 2,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brssbh2u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brssbh1u,,,,,Brahmasūtra: Adhyāya 1,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brssbh1u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brsgor4u,,,,,Brahmasūtra: Adhyāya 4,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brsgor4u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brsgor3u,,,,,Brahmasūtra: Adhyāya 3,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brsgor3u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
