title,original_link,link,notes
ahirbudhnasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%B9%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%AC%E0%A5%81%E0%A4%A7%E0%A5%8D%E0%A4%A8%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
jayākhyasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A4%83:%E0%A4%AA%E0%A4%BE%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A4%B0%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%97%E0%A4%AE%E0%A4%83,
jñānāmṛtasārasaṃhitā,,,fully included in gretil
padmasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A4%A6%E0%A5%8D%E0%A4%AE%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
paramapuruṣasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A4%AE%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B7%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
parameśvarasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A4%AE%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B0%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
puruṣottamasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B7%E0%A5%8B%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%AE%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
prakāśasaṃhitā,,,fully included in gretil
praśnasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B6%E0%A5%8D%E0%A4%A8%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
bhārgavatantram,,https://sa.wikisource.org/wiki/%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A4%B5%E0%A4%A4%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%8D,
