,filename,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
35,Azaucyadiipikaa-M00237-IAST.txt,M00237,Āśaucyadipikā,,,,,,,,,,,,,"['śaiva', 'śaiva-siddhānta']",Vedajñāna,mbP0009,colophon,,,śaivānāṃ viniyogārthaṃ kṛtācāśaucyadīpikā || iti śrīmadvyāghrapurinivāsi vedajñānadevaśiracitāśaucyadīpikā samāptā,
,,ilxM00006,Āścaryayogamālā,,,,,,,,,,,,,,Nāgārjuna,mbP0010,colophon,,,,
36,AzcaryayogamAlA-M00286-IAST.txt,M00286,Āścaryayogamālā Laghuvṛtti,,,,,,,,colophon,Yogaratnāvalī,ilxM00006,commentary,including the mūla,['tantric / āgamic literature'],Guṇākara,mbP0130,colophon,,,āścaryayogamālānāgārjunaviracitānubhavaprasiddhā | sakalajane hṛdayadayitā samarthitā sūtrato jayati // iti śrīśvetāmbarapaṇḍitaguṇākaraviracitā āścaryayogamālālaghuvṛtti samāptābhūt /// ātmasmaraṇāya mayā vikrītā nāgārjunapraṇīteyaṃ | āścaryayogamālā agre tava vṛddhaṭīkāvaḥ /// iti āścaryayogamālā samāptā (+ further text),
,,ilxM00007,Āṣṭaprakaraṇa Tattvatrayanirṇaya,,,,,,,,,,,,,,Sadyojyoti,mbP0011,incipit ,,,,
37,ASTaprakaraNa tattvatrayanirNaya-M00012-IAST.txt,M00012,Āṣṭaprakaraṇa Tattvatrayanirṇaya Vṛtti,,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00007,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",Aghoraśiva,mbP0028,colophon,,,tattvatrayanirṇayaḥ | sadyojyotiḥ śivācāryapraṇī taḥ | aghoraśivācāryakṛtavṛttisahitaḥ /// ityaghoraśivācāryaviracitā tattvatrayanirṇayavṛttiḥ samāptā,at beginning /// at end
,,ilxM00008,Āṣṭaprakaraṇa Tattvaprakāśa,,,,,,,,,,,,,,Bhojadeva,mbP0012,explicit,Śrī Bhojadeva Nṛpati,explicit ,,
38,ASTaprakaraNa tattvaprakAza-M00010-IAST.txt,M00010,Āṣṭaprakaraṇa Tattvaprakāśa Vṛtti,,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00008,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",Aghoraśiva,mbP0028,colophon,,,śrībhojadevanṛpatiḥ sa śivāgamārthaṃ tattvaprakāśamasamānamidaṃ vyadhatta /// iti bhāradvājakulālaṅkaraṇabhūtena śaṅkarasūnunā vidhivihitasomarasāsvādanaparitoṣiṇā śivāṅghrikamaladvayāsaktamadhukarāyamāṇamānasena śrīmatā śrīkumāreṇa racitā tattvaprakāśatātparyadīpikā paripūrṇā /// iti lakṣadvayādhyāpakaśrīmadaghoraśivācāryaviracitā tattvaprakāśikāvṛttiḥ samāptā,towards end /// at end
,,ilxM00009,Āṣṭaprakaraṇa Tattvasaṃgraha,,,,,,,,,,,,,,Sadyojyoti,mbP0011,colophon,,,,
39,ASTaprakaraNa tattvasaMgraha-M00011-IAST.txt,M00011,Āṣṭaprakaraṇa Tattvasaṃgraha Ṭīkā,,Kṛṣṇa Śāstrī,,,,,,colophon,,ilxM00009,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",Aghoraśiva,mbP0028,colophon,,,tattvasaṃgrahaḥ sadyojyotiḥśivācāryapraṇītaḥ aghoraśivācāryakṛtayā ṭīkayā sahitaḥ /// ityavadat tattvāni tu sadyojyotiḥ suvṛttikṛt | iti tattvasaṃgrahaḥ samāptaḥ | ityaghoraśivācāryaviracitā tattvasaṃgrahaṭīkā samāptā,at beginning /// at end
,,ilxM00010,Āṣṭaprakaraṇa Nādakārikā,,,,,,,,,,,,,,Rāmakaṇṭha,mbP0013,colophon,Śrī Bhaṭṭa Rāmakaṇṭha,colophon,,
