,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
405,M00610,Vīraśaivāgama,,,,,,,,,,,,,"['tantra / āgama', 'vīraśaiva']",,,,,,iti vīraśaivāgame sahasrakoṭisaṃhitāyāṃ prāṇaliṅgasaṃbandhānāṃ bhaktistalaṃ nāma prathamaḥ paṭalaḥ /// asamāpto'yaṃ granthaḥ asaṃpūrṇaśca ,in middle /// note at end
406,M00609,Vīraśaivācārapradīpikā,,,,,,,38 chapters,,,,,,"['śaiva', 'vīraśaiva']",,,,,,iti śrīmadvīraśaivācārapradīpikāyāṃ bhaktādhikyaprakaraṇe śivabhaktadānapūjāmāhātmyakathanaṃnāma aṣṭatriṃśo'dhyāyaḥ,
407,M00611,Vīraśaivānandacandrikā,,,,,,,yes (vādakāṇḍa),,,,,,"['tantric / āgamic literature', 'śaiva', 'vīraśaiva']",Maritoṇṭadārya,mbP0076,colophon,,,iti śrīmadanādinirañjanajaṅgamāparāvatāratoṇṭadasiddheśvaraprasādāsāditasāmbhavāgamāmbhodhimathanajanitaniruttaraikottaraśatasthalabhedabhinnaṣaṭsthalatattvasudhāsvādānandasandohapradāyakācāryavaryamaritoṇṭadāryaviracite yaḍavamurārikoṭekolāhalaikāṅgivīravairisaptāṅgaharaṇapaścimasamudrādhīśvaraviśuddhavaidikādvaitasiddhāntapratiṣṭhāpanācāryakeladisadāśivarāyanāyakavaṃśadugdhārṇavapūrṇacandravīrabhadradharaṇīndradharmapatnīmallāmbāhṛdayānandabasavavasudhāsaṅkrandanopadeśe vīraśaivānandacandrikāyāṃ vādakāṇḍe vīraśaivamatotkarṣatanniṣṭhaśivabhaktotkarṣanirūpaṇaṃ nāma caturviṃśatitamaṃ prakaraṇam || vādakāṇḍaḥ samāptaḥ ,
408,M00612,Vīraśaivotkarṣapradīpikā,,,,,,,,,,,,,"['śaiva', 'vīraśaiva']",Cannabasaveśvara,mbP0077,colophon,Cannabasaveśvara Svāmi,colophon,iti śrīṣaṭsthalacakravartiniraṃjanajaṃgamasvarūpatoṃṭadasiddheśvarakāruṇyaprasādapātrasudhāpurasthacannabasaveśvarasvāmiviracitavīraśaivotkarṣapradīpikā samāptā || śrīḥ || śrīśivābhyāṃ namaḥ +EXTRA PAGE,
409,M00253,Vīrāgama,version 1,,M00253=M00608,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva', 'śaiva-siddhānta']",,,,,,iti vīratantre agrāśanavidhirekonanavatitamaḥ paṭalaḥ /// kumāra sthāpanavidhiḥ (tiruvāḍuduraikośe) asmin paṭale tatra tatra kecana ślokāḥ adhikā dṛśyante | āhatya viṃśati ślokāḥ adhikatayā vidyante || ataḥ saṃpūrṇo'yaṃ paṭalaḥ adholikhyate  /// iti śrī vīratantre ṣaṭsahasrasaṃhitāyāṃ guhasthāpanavidhipaṭalaḥ,towards end /// at end
410,M00608,Vīrāgama,version 2,,M00253=M00608,,,incomplete,lacking explicit+final colophon,,,,,,"['tantra / āgama', 'śaiva', 'vīraśaiva']",,,,,,iti vīratantre dhvajārohaṇavidhiḥ samāptaḥ,towards end 
411,M00618,Vedāntasāravīraśaivacintāmaṇi,,,,,,,"21 ch., uttarakhaṇḍa",,,,,,"['śaiva', 'vīraśaiva']",Niṣṭhūra Naṃjaṇa,mbP0120,colophon,Niṣṭhūra Śrīman Naṃjaṇa Ācārya,colophon,iti śrīvedavedāntaśivāgamasmṛtipurāṇetihāsagītāśāstrapurātanoktisārabhūtavīramāheśvarācārasāroddhāre śivācārakathane niṣṭhūraśrīmannaṃjaṇācārya viracite śrīmadvedāṃtasāravīraśaivaciṃtāmaṇau uttarakhaṃḍe vīramāheśvarānteṣṭikakramo nāmaikaviṃśatiprakaraṇaṃ sampūrṇam,
,ilxM00073,Vyomavyāpistava,,,,,,,,,,,,,,Rāmakaṇṭha,mbP0013,colophon,,,,
412,M00059,Vyomavyāpistava Laghuṭīkā,,,,,,,,colophon,,ilxM00073,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Vedajñāna,mbP0009,colophon (metathesis),,,guruṇā rāmakaṇṭhena kṛtasya śiśu bodhinīm | vyomavyāpistavasyaikāṃ laghuṭīkāṃ samārabhe /// śrīmadabhrasabheśasya diśyāgneyyāṃ sadāvasan | devajñāna riṣīdreti (ṛṣīndreti) viśṛtobhuvanatraye || tannāmadhāriṇā caiva iyaṃ vyākhyā samīritā | iti vyomavyāpistavaṃ laghuṭīkāsahitaṃ samāptam || śrīgurubhyo namaḥ || śubhaṃ bhavatu,at beginning /// at end
413,M00128,Śaktisaṃgamatantra Kālīkhanda,,Benoytosh Bhattacharyya,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śākta']",,,,,,iti śrīśaktisaṅgamamahātantrarāje uttarabhāge prathakhaṇḍe śrīmadakṣobhyamahogratārāsaṃvāde kāmadhenvādiyogo nāma ekaviṃśatiḥ paṭalaḥ || iti kālīkhaṇḍaḥ,
414,M00119,Śaktisaṃgamatantra Tārākhanda,,Benoytosh Bhattacharyya,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śākta']",,,,,,iti śrīśaktisaṅgamamahātantrarāje uttarabhāge dvitīyakhaṇḍe śrīmadakṣobhyamahogratārāsaṃvāde aśvāsanaṃ nāma saptacatvāriṃśatiḥ paṭalaḥ,
415,M00129,Śaktisaṃgamatantra Sundarīkhanda,,Benoytosh Bhattacharyya,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śākta']",,,,,,iti śrīśaktisaṅgamamahātantrarāje uttarabhāge tṛtīyakhaṇḍe śrīmadakṣobhyamahogratārāsaṃvāde dhūmāvatīkautukasaṃkṣepavidhirnāmaikaviṃśatitamaḥ paṭalaḥ || sundarīkhaṇḍaḥ,
416,M00322,Śaktisūtra,,,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,iti śaktisūtraṃ /// iti nityanaimittikavidhiḥ samāptāḥ,towards beginning /// at end 
417,M00078,Śataratnasaṃgraha,,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Umāpatiśivācārya,mbP0078,colophon,,,iti umāpatiśivācāryasaṃgṛhītaśataratnollekhanī samāptā || oṃ vināyakāya namaḥ || cidambareśvaraśivakāmasundarībhyāṃ namaḥ ,
,ilxM00074,Śatarudriya,,,,,,,,,,,,,,,,,,,,
418,I00016,Śatarudriyabhāṣya,,,,,,,,colophon,,ilxM00074,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Abhinavaśaṅkara ?,mbP0169,colophon,,,prasāditayajuśśākhāṃ prapadye śatarudriyam| sāramuddhṛtya rudrāṇāṃ samyagvyākhyā *vidhīyate /// iti paramahaṃsaparavrājakasārvabhaumaśrīmatadvaitavidyāpratiṣṭhāpanābhinavaśaṅkarabhagavadbhiḥ kṛtaṃ śrī rudrabhāṣyaṃ sampūrṇam,at beginning /// at end
419,M00645,Śabdārthacintāmaṇi,,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantra / āgama'],Prema Nidhi (Pantha?),mbP0004 (same as mbP0103?),incipit (+Cat.Cat.) ,,,yasyodyotamatīsatīguṇavatīmātāpitomāpattirnāmapremanidhītipathakulabhūḥkūrmmācalojanmabhūḥ sūpāsyaṃkṛtavīryyacācyutapadaṃvārāṇasīvāsabhūtasmādabhyudite yamādyapaṭalaḥśavdārthaciṃtāmaṇau,towards beginning
420,M00054,Śāktapramoda,,,,,,,,,,,,,['tantric / āgamic literature'],Devanandanasiṃha,mbP0079,colophon,Śrī Rāja Devanandanasiṃha Bahādura Narādhipa,colophon,śrīḥ śāktapramodaḥ kālyādidaśamahāvidyātantrātmakaḥ kumāryādipaṃcāyatanadevatānāṃ tantraiśca samalaṃkṛtaḥ śivahararājadhānīrājabhiḥ śrīrājadevanandanasiṃhabahāduranarādhipaiḥ saṃgṛhya viracitaḥ /// iti nāradapañcarātroktaṃ śrīviṣṇornnāmasahasraṃ samāptam || iti viṣṇutantraṃ samāptam iti śrīśāktapramodassamāptaḥ | granthasya viṣayānukramaṇikā + additional text ///  iti granthasya viṣayāḥ samāptāḥ,at every beginning of chapter /// almost at end /// at end
421,M00134,Śāktānandataraṅgiṇī,,Pañcānana Śāstrī,,,,,,,,,,,['tantric / āgamic literature'],Brahmānanda,mbP0111,colophon,Śrī Parivrājakācārya Paramahaṃsa Tīrthāvadhūta Śrīmad Brahmānanda Giri,colophon ,iti śrīparivrājakācārya paramahaṃsatīrthāvadhūtaśrīmadbrahmānandagirikṛtāyāṃ śāktānandataraṅgiṇyāṃ homādinirṇayo nāmāṣṭādaśollāsaḥ samāptaḥ || samāpto'yaṃ granthaḥ,
,ilxM00075,Śāṇḍilyopaniṣat,,,,,,,,,,,,,,,,,,,,
422,M00113,Śāṇḍilyopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Śāṇḍilya Upaniṣat,ilxM00075,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,"iti dvitīyaḥ khaṇḍaḥ samāptaḥ, tṛtīyo'dhyāyaśca || śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | śāṇḍilyopaniṣadvyākhyā likhitā brahmagocarā | śāṇḍilyopaniṣadvyākhyāgranthastu triśataṃ smṛtaḥ || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe aṣṭapañcāśatsaṃkhyāpūrakaṃ śāṇḍilyopaniṣadvivaraṇaṃ saṃpūrṇam",
,ilxM00076,Śāradātilaka,,,,,,,,,,,,,,Lakṣmaṇadeśikendra,mbP0080,colophon,,,,
423,M00077,Śāradātilaka Ṭīkā,,"Avalon, A",,,,,25 chapters,colophon,,ilxM00076,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",Rāghavabhaṭṭa,mbP0157,colophon,,,iti śrīmadlakṣmaṇadeśikendraviracite śāradātilake pañcaviṃśaḥ paṭalaḥ samāptaḥ /// iti śrīrāghavabhaṭṭaviracitaśāradātilakaṭīkāyāṃ satsampradāyakṛtavyākhyāyāṃ padārthādarśābhikhyāyāṃ pañcaviṃśaḥ paṭalaḥ,
424,M00650,Śivajīvadaśakam,,,,,,,,,Śivakavacam,,,,['tantric / āgamic literature'],Sāhib Kaul,mbP0018,colophon,,, itiśrīmahāmāheśvarabhaṭṭācāryasāhibkaulaviracitaṃśārikāstotraṃsaṃpūrṇaṃ /// itiśrīvṛṣabhaproktaṃśivakavacaṃsamāptamomitiśivaṃ,almost at end /// at end
425,I00010,"Śivajñānasiddhi (svapakṣa ḍṛṣtāntasaṅgrahaḥ), Saptalakṣaṇaṃ Savyākhyānam (prātiśākhyam)",,,,,"The author of the first text might be inferred to be the same as of text M00226, i.e. Vedajñāna - mbP0009. It is unclear if the author of the following sections is Mallayārya - mbP0170 in all cases. ",incomplete,collection of texts (lacking explicit+final colophons),,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']","Vedajñāna?, Mallayārya?","? mbP0009, mbP0170","hypothesis, colophon",,,dvādaśasūtraṃ samāptam | śivajñānasiddhigranthaḥ samāptaḥ || samānasandhervyākhyānaṃ vyakterna taparasya ca | kriyate mallāyāryeṇa padadarpaṇasaṃjñakam /// iti mallayāryaviracite samānasandhivyākhyānaṃ samāptam /// iti vilaṅghya vyākhyānaḥ samāptaḥ /// iti hrasvasaṃgrahaḥ samāptaḥ | avarṇi samāptam /// avarṇyāvarṇayorvyākhyānaṃ samāptam /// (…)niṅgyaparibhāṣā samāptā,in middle /// towards end
426,M00226,Śivajñānasiddhi,,,,,svapakṣa ḍṛṣtāntasaṅgrahaḥ,,,,,,,,"['tantra / āgama', 'śaiva-siddhānta']",Vedajñāna,mbP0009,colophon,,,dvādaśatamasūtraṃ sampūrṇam || iti śrīmadvyāghrapuravāsanigamajñāna śivayogīśiṣyavedajñāna śivācārya saṅgrahasakalāgamasārabhūta śivajñānasiddherdṛṣṭāntassamāptaḥ || oṃ śrīmadaruṇācalāya namaḥ ,
,ilxM00078,Śivadṛṣṭi,,,,,,,,,,,,,,Somānanda,mbP0081,colophon,Śrī Mahāmāheśvarācārya Varya Somānanda Prabhupādānām,colophon,,
427,M00081,Śivadṛṣṭi Vṛtti,,Śāstrī M K,,,,,,colophon,,ilxM00078,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Utpaladeva,mbP0002,colophon,,,prārthyante'smin prayukte'pi guravo grahaṇaṃ prati | iti samāptisaṃjñakaṃ saptamamāhnikam || samāptā śivadṛṣṭiriyam | kṛtiḥ śrīmahāmāheśvarācāryavaryasomānandaprabhupādānām,
428,M00210,Śivadharma Nandiprokta,,,,,,incomplete,,,,,,,['śaiva'],,,,,,(...) śāntaṃ sarvajñaṃ nandikeśvaram | sanatkumāraḥ papraccha śivadharmānyathākramam /// uddhūlanaṃ tripuṇḍraṃ ca kartavyam bhaktito mune | iti śivadharme pañcamodhyāyaḥ,towards beginning /// at end 
429,M00209,Śivadharma,,,,,,,,,,,,,['śaiva'],,,,,,iti śrīśivadharmaśāstre nandiproktāyāṃ saṃhitāyāṃ śivavidyā śākhopaśākhā samuddeśo nāma dvādaśodhyāyaḥ || śivadharmassamāptaḥ || oṃ śivāyagurave namaḥ | śivamastu | śrīśivāya namaḥ,
430,M00211,Śivadharmottara,,,,,,,"12 ch., like the text above",,,,,,['śaiva'],,,,,,iti śaivaśāstre śivadharmottare nandikeśvaraprokte dvādaśodhyāyaḥ || śubhamastu | om || śivadharmottarassamāptaḥ | dakṣiṇāmūrtaye namaḥ || om ,
431,M00651,Śivanirvāṇa,,,,,bījākṣaramantrasahita,,"text is complete, MS lacks explicit+final colophon ",,,,,,['tantric / āgamic literature'],,,,,, śrīsaptarṣisaṃvat (5010 ???) bhāśudinavamyāṃcandre iyaṃnirvāṇapaddhatiḥsamāptīkṛtamityalam,almost at end
432,M00082,Śivasaṃhita,,,,,,,5 chapters,,,,,,"['tantric / āgamic literature', 'śaiva', 'yoga']",,,,,,iti śrīśivasaṃhitāyāṃ haragaurīsaṃvāde yogaśāstre paṃcamaḥ paṭalaḥ samāptaḥ || śubham ,
433,I00007,Śivasahasranāmastotra Uttarapīṭha Ādityapurāṇa,,,,,,,"name list is complete, but text lacks ending/final colophon",,,,,,"['śaiva', 'śaiva-siddhānta']",,,,,,asya śrīśivasahasranāmastotramahāmantrasya nāradṛṣiḥ anuṣṭupcandaḥ śrīsadāśivaḥ paramātmādevatā,almost at beginning
434,M00617,Śivasiddhāntacandrikā,,,,,,,,,,,,,"['śaiva', 'vīraśaiva']",Cikkanaṃjeśvara,mbP0105,final colophon,Śrī Jagadguru Siddhanaṃjeśa Śivācārya,incipit and in-text colophons ,cannavīrāmahādevyai cikkanaṃjeśvarāya ca | śivajñānaikasiddhyarthaṃ proktā siddhāṃtacaṃdrikā || samāptā,
,ilxM00079,Śivasūtra,,,,,,,,,,,,,,Vasugupta,mbP0168,,,,,
435,M00083,Śivasūtra Vārttika,,Chatterji J C,,,,,,colophon,,ilxM00079,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Bhāskararāya,mbP0062,colophon,,,iti saṃkṣepataḥ samyak sūtravārtikamuttamam | śatatrayeṇa ślokānāṃ navatyā copavarṇitam || iti prakaraṇatrayaṃ sughaṭamīṣadunmīlitaṃ mayā śivamukhodgataṃ sumatisiddhaye sāṃpratam | vicārya gatamatsarbudhairjanairguṇagrāhibhiḥ susevyamiha teṣvalaṃ bhavatu siddhimokṣapradam || iti kāśmīrikaśrīmadācāryabhaṭṭadivākarātmajabhaṭṭaśrībhāskaraviracite śivasūtravārtike vibhṛtispandākhyastṛtīyaḥ prakāśaḥ || samāptaścāyaṃ śivasūtravārtikākhyo granthaḥ || śrīśivārpaṇaṃ bhūyāt ,
436,M00349,Śivasūtra Vimarśinī,version 1,Chatterji J C,M00349=M00148,exact copy/paste,,,,colophon,,ilxM00079,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Kṣemarāja,mbP0049,colophon,,,iti śrīmanmahāmāheśvarācāryavaryābhinavaguptapādapadmopajīvi(?)nāma tṛtīya unmeṣaḥ || samāptā ceyaṃ śivasūtravimarśinī || kṛtiḥ śrīkṣemarājasya kṣemāyāstu vimarśinām | śivasvātmaikyabodhārthā śivasūtravimarśinī,
437,M00148,Śivasūtra Vimarśinī,version 2,Chatterji J C,M00349=M00148,exact copy/paste,,,,,,ilxM00079,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', '', '', 'Photographic facsimile', '[ View in PDF](../TEXTS/KSTS/KSTS001/PDF/PDF.pdf)', '']",Kṣemarāja,mbP0049,colophon ,,,iti śrīmanmahāmaheśvarācāryavaryābhinavaguptapādapadmopajīviśrīkṣemarājaviracitāyām śivasūtravimarśinyām āṇavopāyaprakāzanam nāma tṛtīya unmeṣaḥ |  samāptā ceyam śivasūtravimarśinī | kṛtiḥ śrīkṣemarājasya kṣemāyāstu vimarśinām śivasvātmaikyabodhārthā śivasūtravimarśinī,
,ilxM00080,Śivastotravalī,,,,,,,,,,,,,,Utpaladeva,mbP0002,colophon,,,,
438,M00348,Śivastotravalī Vivṛti,,Rai Pramadasa Mitra Bahadur,,,,,,colophon,,ilxM00080,commentary,including the mūla,['śaiva'],Kṣemarāja,mbP0049,colophon,,,iti śrīmadutpaladevācāryaviracitastotrāvalau carvaṇāstotre viṃśaṃ śrīkṣemarājakṛtā vivṛtiḥ + additional verses,
439,M00058,Śivāgamādimāhātmya,,,,,,,,,Śivāgamādimāhātmyasaṅgrama,,,,"['compendium', 'tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Jñānaprakāśa,mbP0052,colophon,,,ataḥ śivāgamaproktaviśeṣācāratatparāḥ | narāḥ śreyāṃsi bhūyāṃsi vindantīti niścitam || iti śālivāṭipuranivāsijñānaprakāśaguruviracitaśivāgamādimāhātmyasaṅgrahaḥ samāptaḥ || śrīmaddevaśikhāmaṇigurubhyo namaḥ | śrīmatṣaṇmukhagurave namaḥ ,
440,M00606,Śivādvaitadarpaṇa,,,,,,,,,,,,,"['śaiva', 'vīraśaiva']",Śivānubhava Śivācārya,mbP0082,colophon,,,iti caturthaparicchedaḥ || śivabhaktiśivācāraśivārcāsaktacetasāṃ || svasvarūpāvabodhārthaṃ darpaṇo racito mayā || iti śrīparamahaṃsaparivrājakācāryavaryasarvatantrasvatantrapadavākyapramāṇapārāvārapārīṇaparaśivāparāvatārapuvvallīpuravarādhīśvaraśrīmadbhagatpādaśrīnīlakaṇṭhaśivācāryapratiṣṭhāpitaśrīśivādvaitabhāṣyasiṃhāsanādhīśapūvvallīpañcavarṇamahāmaṭhādhiṣṭhitaśrībhagavatpādaciddhanaśivācāryakarakañjātasañjātaśrīmacchaktiviśiṣṭādvaitasiddhāntapayaḥ pārāvārarākāsudhākaraśrīśivānubhavaśivācāryaviracitaśrīśivādvaitadarpaṇaḥ sampūrṇaḥ | sarvaṃ śivārpaṇamastu ,
441,M00607,Śivādvaitimañjarī And Śaivasiddhāntadīpikā,,,,,,,,,,,,,"['śaiva', 'vīraśaiva']","Svaprabhānanda, Śaṃbhudeva","mbP0122 , mbP0107","colophon, colophon",,,1) iti śrīprakāśavimarśasāmarasyalakṣaṇadvaitādvaitasamarasalīlāsaparibṛṃhitabrahmavidyācāryanāthānaṃdamunīṃdracaṃdrasūktisudhākiraṇaprasaraṇavikasitahṛtkairavakorakasvaprabhānaṃdaviraciteyaṃ śivādvaitamaṃjarī saṃpūrṇatāmavāptā pūrṇimācaṃdrikeva sahṛdayahṛdayāhlādanaṃ vitanvatī vijayatetarāṃ /// 2) iti sarvamatotkṛṣṭā śaivasiddhāntadīpikā | sarvārthaśaṃbhudevena kalpitā śaivasaṃmatā | śaivasiddhāntadīpikānāma pāśupatamataprakaraṇaṃ samāptam,in middle /// at end
442,M00079,Śivārcanacandrikā,,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",Appayadīkṣita,mbP0083,catalog,,,karotu jvarakaṇṭheśassvakīyārcanacandrikām | ākalpasthāyinīmenāṃ dyusthale candrikāmiva || hariḥ om || śubhamastu | gurubhyonamaḥ || bhajāmijvarakaṇṭheśa mṛtyuñjayapadāṃbujam | yadāśrito nagvavyājādbhāti jaivātṛkassadā || śivārcanācandrikā samāptā,
443,I00021,Śivotsavavidhi,,,,,,uncertain,yes?,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,"no - these sections are present: dhanurmāsapūjāvidhi, kṛttikādipanirṇaya, navarātri utsavavidhi, kāmikāgama - skandaṣaṣṭi-utsava, ekākṣaranikhaṇḍu, rakṣoghnahoma, mudrālakṣaṇa, ṣoḍaśopacāra, dravyāhutivacana - sakalāgamasaṅgraha, viṣṇu ṣaṇṇavati-dravyāhuti, cintyāgama, yogaja (utsavavidhi), sūkṣmāgama (utsava), makuṭāgama (śivotsava), prāyaścittavidhi, āṣāḍhapūrārmavidhi - kāraṇa, kāmikāgama - śivotsava ",list of present sections
444,M00270,Śukavākya,,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,,,bhagavañśrotumicchāmi māhātmyaṃ yacchukasya ca | parasparaṃ tu saṃvādaṃ vyāsasya ca śukasya ca,at beginning
,ilxM00081,Śaivakalāviveka,,,,,,,,,,,,,,Nigamajñānadeva,mbP0072 ,colophon,Śrī Nigamajñāna Śivācārya,colophon,,
445,M00181,Śaivakalāviveka Vyākhyā,,,,,,,,colophon,,ilxM00081,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva', 'śaiva-siddhānta']",Gaṇapati Bhaṭṭa,mbP0158,colophon,,,śaivakālavivekamūlaślokāḥ samāptāḥ || śaivakālavivekaḥ gaṇapatibhaṭṭaviracita vyākhyāyutaḥ /// iti śrī nigamajñāna śivācārya viracitaśśaivakāla vivekaḥ samāptaḥ || iti śrīvatsakulatilaka gaṇapati bhaṭṭa viracitā śaivakālaviveka vyākhyā samāptā /// iti deśakālādhikāraḥ,towards beginning /// towards end /// at end
446,M00254,Śaivasiddhāntaparibhāṣāmañjarī,,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Nigamajñānadeva,mbP0072,colophon,,,daśamassargaḥ || puṇḍarīkapuravāsi nigamajñānaśivayogiśiṣyaḥ nigamajñānadeva viracitāyāṃ paryāyamañjaryākhyā nighaṇḍuḥ saṃpūrṇaḥ,
447,M00075,Śaivasiddhāntaparibhāṣā,,,,,,,5 chapters,,,,,,"['tantric / āgamic literature', 'śaiva-siddhānta post 1100 AD']",Śivāgrayogīndrajñāna,mbP00027,colophon,,,iti śrīmadativarṇāśramācāryavaryaśaivaparipālakaśivāgrayogīndrajñānaśivācāryaviracitāyāṃ śaivaparibhāṣāyāṃ muktinirūpaṇaṃ nāma pañcamaḥ paricchedaḥ,
448,M00228,Śaivāgamādimāhātmya,,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",Jñānaprakāśa,mbP0052,colophon,,,iti śrīśālīvāṭipuranivāsi jñānaprakāśaguruviracita śivāgamādimāhātmya saṃgrahassamāptaḥ,
449,I00006,Śrāddhakārikā,,,,,,incomplete,,,,,,,"['śaiva', 'śaiva-siddhānta', 'Paddhati']",,,,,,"these setions are present: agnisandhānam, aupāsana, pārvaṇahoma, brahmacāryāupāsana, pañcagavya, saṅkalpaśrāddha",
450,M00346,Śrīkarabhāsya,,C. Hayavadana Rao,,vedāntasūtrāṇām vīraśaivabhāṣyam,,,4 chapters,,,,,,['śaiva'],Śrīpati,mbP0084,colophon,Śrīpati Paṇḍita Bhagavat Pādācārya Svāmi,colophon,iti śrīmadyativrajaparivṛḍhaśrīpatipaṇḍitabhagavatpādācāryasvāmikṛtaśrīkarabhāṣye phalādhyāyasaṃjñikacaturthādhyāyasya sampadyāvirbhūtādhikaraṇādiṣaḍadhikaraṇāvacchinnasamāptaḥ || śrīśivāyagurave namaḥ | caturthādhyāyasamāptaḥ,
451,M00653,Śrīgurustutiratnāvalī,,,,,,,,,,,,,['tantric / āgamic literature'],Govinda Kaula,mbP0030,colophon,,,itiśrīmahāmāheśvarācāryaśrīmacchrījyotiṣprakāśakaulānaṃdanāthapādapadmānujīviśrīgoviṃdakaulaviracitāśrīgurustutiratnāvalīsamāptāsaṃpūrṇācetiśivamom,
452,I00025,Śrīcakranavāvaraṇapūjā,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,no,
453,M00652,Śrīcakrasadhanam,,,,,,uncertain,yes?,,,,,,['tantric / āgamic literature'],,,,,,athaśrīcakrasādhanavidhiḥ,at beginning
454,M00238,Śrītattvanidhiḥ,,,,,,,,,,,,,['tantric / āgamic literature'],Kṛṣṇarāja Vodeyar,mbP0085,catalog,Śrī Kṛṣṇarāja Mahārāja,colophon,iti śrīmatsamastabhamaṃḍalamaṃḍanāyamānānikhiladeśāvataṃ sakarnāṭakajanapadādhiṣṭhānabhūtaśrīmanmahīśūramahāsaṃsthānamadhyadedīpyamānāvikalakalānidhikulakramāgatarājakṣitipālapramukhanikhilanijarājādhirājamahārājacakravartimaṃḍalānubhūtadivyaratnasiṃhāsanārūḍhaśrīmadrājādhirājarājaparameśvaraprauḍhapratāpāpratimavīranarapatibirudeṃteṃbaragaṃḍalokaikavīrayadukulapayaḥpārāvārakalānidhiśaṃkhacakrāṃkuśakuṭhāramakaramatsyaśarabhasālvagaṃḍabheruṃḍadharaṇīvarāhahanumadgaruḍakaṃṭhīravādyanekabirudāṃkitaśrīmanmahīśūrapuravarādhīśaśrīkṛṣṇarājamahārājaviracite śrītattvanidhyākhyagraṃthepatrikākṣakrīḍādimahākautukanirūpaṇaṃnāmanavamo nidhissaṃpūrṇaḥ || iti śrītattvanidhyākhyagranthe navamaḥ kautukanidhissaṃpūrṇaḥ || śrītattvanidhyākhyoyaṃgranthassamāptaḥ,
455,M00654,Śrīvidyanityapaddhati,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'Paddhati']",Sāhib Kaul,mbP0018,catalog,,,adhunāpaddhatiṃvakṣyeśrīvidyārcanasaṃyutāṃ ...,at beginning 
