file,title,title_buddhanexus,title_notes,author,author_buddhanexus,author_pid,tōh,cbeta,Remarks Chinese translation,reconstructed (y/n),url,legacy_url,url_buddhanexus,archive.org,dsbc (yn),category,best_text,duplicate_of_standard
sa_bhUtirAja-svabodhasiddhi.xml,Svabodhasiddhi,Svabodhasiddhi,,Bhūti(rāja),Bhūti(rāja),P0AT0211,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_bhUtirAja-svabodhasiddhi.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/bhutisbs_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/bhutisbs_u.htm,,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-bhairavastava.xml,Bhairavastava,Bhairavastava,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-bhairavastava.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/bhairstu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/bhairstu.htm,,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-paramArthasAra-comm.xml,Paramārthasāra with Yogarāja's Paramārthasārasaṃgrahavivṛti commentary,Paramārthasāra,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-paramArthasAra-comm.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/aparmyou.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/aparmyou.htm,https://archive.org/search.php?query=Paramarthasara,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-anuttarASTikA.xml,Anuttarāṣṭikā,Anuttarāṣṭikā,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-anuttarASTikA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/anuttaru.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/anuttaru.htm,,,6_sastra/3_phil/saiva,,
sa_AdyanAtha-anuttaraprakAzapaJcAzikA.xml,Anuttaraprakāśapañcāśikā,Anuttaraprakāśapañcāśikhā,,Ādyanātha,Ādyanātha,P0AT0210,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_AdyanAtha-anuttaraprakAzapaJcAzikA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/adyappau.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/adyapppu.htm,,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-tantrasAra.xml,Tantrasāra,Tantrasāra,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-tantrasAra.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/abhtantu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/abhtantu.htm,https://archive.org/search.php?query=Tantras%C4%81ra,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-mAlinIzlokavArttika.xml,Mālinīślokavārttika,Mālinīślokavārttika: Kāṇḍa 1,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-mAlinIzlokavArttika.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/abhmal1u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/abhmal1u.htm,,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-IzvarapratyabhijJAvimarzinI.xml,Īśvarapratyabhijñāvimarśinī,Īśvarapratyabhijñāvimarśinī,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-IzvarapratyabhijJAvimarzinI.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/abhiprvu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/abhiprvu.htm,,,6_sastra/3_phil/saiva,,
sa_vyAsatIrtha-tarkatANDava-comm.xml,Tarkatāṇḍava with Rāghavendratīrtha's Nyāyadīpa,Tarkatāṇḍava: Pariccheda 1,,Vyāsatīrtha,Vyāsatīrtha,P0AT0209,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_vyAsatIrtha-tarkatANDava-comm.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/vytrkt1u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/vytrkt1u.htm,,,6_sastra/3_phil/nyaya,,
sa_veGkaTanAtha-nyAyaparizuddhibhUmikA-13-5.xml,"Nyāyapariśuddhi, Bhūmikā, 1, 3-5",Nyāyapariśuddhi: Bhūmikā,,Veṅkaṭanātha [Vedāntadeśika],Veṅkaṭanātha [Vedāntadeśika],P0AT0208,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_veGkaTanAtha-nyAyaparizuddhibhUmikA-13-5.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/vnyps00u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/vnyps00u.htm,,,6_sastra/3_phil/nyaya,,
sa_udayana-nyAyakusumAJjali.xml,Nyāyakusumāñjali,Nyāyakusumāñjali: Stavaka 1,,Udayana,Udayana,P0AT0206,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_udayana-nyAyakusumAJjali.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/udnyku1u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/udnyku1u.htm,https://archive.org/search.php?query=Ny%C4%81yakusum%C4%81%C3%B1jali,,6_sastra/3_phil/nyaya,,
sa_siddhasenamahAmati-nyAyAvatAra-comm.xml,Nyāyāvatāra with the Nyāyāvatāravivṛti commentary by Siddharṣigaṇin,Nyāyāvatāra,,Siddhasenamahāmati,Siddhasena Mahāmati,P0AT0207,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_siddhasenamahAmati-nyAyAvatAra-comm.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/snyayvau.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/snyayvpu.htm,https://archive.org/search.php?query=Ny%C4%81y%C4%81vat%C4%81ra,,6_sastra/3_phil/nyaya,,
sa_gautama-nyAyasUtra-comm.xml,Nyāyasūtra with Vātsyāyana's Nyāyabhāṣya,Nyāyasūtra,,Gautama,Gautama,P0AT0205,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gautama-nyAyasUtra-comm.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/nysvbh1u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/nysvbh1u.htm,https://archive.org/search.php?query=Ny%C4%81yas%C5%ABtra,,6_sastra/3_phil/nyaya,,
sa_gautama-nyAyasUtra-comm-alt.xml,Nyāyasūtra with Vātsyāyana's Nyāyabhāṣya,Nyāyasūtra,,Gautama,Gautama,P0AT0205,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gautama-nyAyasUtra-comm-alt.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/nysvbh_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/nysvbh_u.htm,https://archive.org/search.php?query=Ny%C4%81yas%C5%ABtra,,6_sastra/3_phil/nyaya,,
"sa_gautama-nyAyasUtra5,1-comm.xml","Nyāyasūtra, 5.1 with Nyāyasūtrabhāṣya by Vātsyāyana",Nyāyasūtra 5.1,,Gautama,Gautama,P0AT0205,,,,,"http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gautama-nyAyasUtra5,1-comm.htm",http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/nysu51au.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/nysu51pu.htm,https://archive.org/search.php?query=Ny%C4%81yas%C5%ABtra,,6_sastra/3_phil/nyaya,,
sa_gautama-nyAyasUtra-comm2.xml,Nyāyasūtra with Vacaspatimiśra's Nyāyavārttikatātparyaṭīkā,Nyāyasūtra,,Gautama,Gautama,P0AT0205,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_gautama-nyAyasUtra-comm2.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/nystik_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/nystik_u.htm,https://archive.org/search.php?query=Ny%C4%81yas%C5%ABtra,,6_sastra/3_phil/nyaya,,
