original_filename,file,catalogue_no,title,title_notes,author,author_pid,url,editor,best_text,duplicate_of_standard,,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available",Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other | Excerpts,Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
M00560 - pazcimAmnAyasamayadIkSAvidhi.htm,pazcimAmnAyasamayadIkSAvidhi_M00560.xml,M00560,Paścimāmnāyasamayadīkṣāvidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00560,,,,,incomplete,,,,,,,"['tantra / āgama', 'Paddhati']",,,,no,title?
M00558 - pazcimAmnAyASTAviMzatikramArcana.htm,pazcimAmnAyASTAviMzatikramArcana_M00558.xml,M00558,Paścimāmnāyāṣṭāviṃśatikramārcana,,,,https://muktabodha-digital-library.org/texts/IAST/M00558,,,,,incomplete,lacking final colophon,,,,,,"['tantra / āgama', 'Paddhati']",,,,iti śrīpaścimajeṣṭhānjeṣṭhe āmnāya aṣṭāviṃśati krammārccaṇaṃ samāpta,in middle
M00040 - vedAntadezika - pAJcarAtrarakSA.htm,vedAntadezika_pAJcarAtrarakSA_M00040.xml,M00040,Pāñcarātrarakṣā,,Vedāntadeśika,mbP0051,https://muktabodha-digital-library.org/texts/IAST/M00040,Pandit T. Venugopalacharya,,,,,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",colophon+catalog,Veṅkaṭanātha,colophon,iti śrīkavitārkikasiṃhasya sarvatantrasvatantrasya śrīmadveṅkaṭanāthasya vedāntācāryasya kṛtiṣu śrīpāñcarātrarakṣāyāṃ nityavyākhyānākhyaḥ tṛtīyo'dhikāraḥ śrīpāñcarātrarakṣāṃ saṃpūrṇā,
M00112 - pAzupatabrahmopaniSat.htm,pAzupatabrahmopaniSat_M00112.xml,M00112,Pāśupatabrahmopaniṣat Vivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00112,Śāstrī Mahādeva,,,,,,colophon,Pāśupatabrahma Upaniṣat,ilxM00043,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | pāśupatopaniṣado vyākhyānaṃ likhitaṃ laghu | pāśupatīyavivṛtiḥ dviśatagranthabhūṣitā || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe saptasaptatisaṃkhyāpūrakaṃ pāśupatabrahmopaniṣadvivaraṇaṃ saṃpūrṇam,
M00305 - piGgalAmata.htm,piGgalAmata_M00305.xml,M00305,Piṅgalāmata,jayadrathādhikara,,,https://muktabodha-digital-library.org/texts/IAST/M00305,,,,,incomplete,breaks off at end,,,,,,"['tantra / āgama', 'śaiva', 'trika', 'śākta']",,,,iti piṅgalāmate jayadrathādhikāre vyākhyāprakaraṇaṃ samāptam /// samvat 297 caitraśuklapūrṇamāsyāṃ māsadine uttaraphālguṇanakṣatre | śrīrameśvara paramabhaṭṭārakamahārājādhirāja śrīmadrudra devasya vijayarājye | śrīmat mahāvijakarathyāyāṃ śrīcandanamaṇḍapīrathyādhivāsinā | śrīśivācāryavijādharavarmeṇa likhāpitaṃ pustakaṃ | lekhakapaśupatinālikhitamiti |,almost at beginning /// at end
M00559 - pIThapUjAvidhi.htm,pIThapUjAvidhi_M00559.xml,M00559,Pīṭhapūjāvidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00559,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,"iti pīṭhipūjā samāpta || samvat 821 phālguṇakṛṣṇa trayodaśī thvakuhnu śrī ākāśamahābhairavasaratha śrī śrījayabhūpatīndramalladevasanayo""nādinajalo || śubha || adyetyādi || mānavagotra yajamānasya śrīśrījayabhūpatīndramalladevavarmmaṇaḥ śrī sveṣṭadevatāprītikāmanayā navagṛhapraveśapratiṣṭhānimityārthena siddhāgni ayutāhuti yajñanavapīṭha aṣṭamātṛkārādhanaṃ karttuṃ puṣpabhājanaṃ samarppayāmi ||",
M00045 - purazcaryArNava volume 1.htm,purazcaryArNava_volume_1_M00045.xml,M00045,Puraścaryārṇava Volume 1,,Pratāpa Siṃha,mbP0114,https://muktabodha-digital-library.org/texts/IAST/M00045,Muralidhara Jhā,,,,,,,,,,,"['compendium', 'tantric / āgamic literature', 'śaiva']",colophon,Śrīman Mahārāja Adhirāja Śrī Pratāpa Siṃha Sāha,colophon,iti śrīmanmahārājādhirājaśrīpratāpasiṃhasāhaviracite puraścaryārṇave kriyāvatīdīkṣāvidhirnāma caturthastaraṅgaḥ,
M00046 - purazcaryArNava volume 2.htm,purazcaryArNava_volume_2_M00046.xml,M00046,Puraścaryārṇava Volume 2,,Pratāpa Siṃha,mbP0114,https://muktabodha-digital-library.org/texts/IAST/M00046,Muralidhara Jhā,,,,,,,,,,,"['compendium', 'tantric / āgamic literature', 'śaiva']",colophon,Śrīman Mahārāja Adhirāja Śrī Pratāpa Siṃha Sāha,colophon,iti śrīmanmahārājādhirājaśrīpratāpasiṃhasāhaviracite puraścaryārṇave gaṇeśādimantrapuraścaraṇavivecanaṃ nāmāṣṭamastaraṅgaḥ,
M00047 - purazcaryArNava volume 3.htm,purazcaryArNava_volume_3_M00047.xml,M00047,Puraścaryārṇava Volume 3,,Pratāpa Siṃha,mbP0114,https://muktabodha-digital-library.org/texts/IAST/M00047,Muralidhara Jhā,,,,,12 chapters,,,,,,"['compendium', 'tantric / āgamic literature', 'śaiva']",colophon,Śrīman Mahārāja Adhirāja Śrī Pratāpa Siṃha Sāha,colophon,iti śrīgirirājacakracūḍāmaṇinaranārāyaṇetyādivividhavirudāvalīvirājamānamānonnata śrīmanmahārājādhirājaśrīpratāpasiṃhasāhadevaviracite puraścaryārṇave brāhmyādimantrapuraścaraṇapūrvakayantrastavakavacādipuraścaraṇabhedanirūpaṇaṃ nāma dvādaśastaraṅgaḥ samāptaḥ,
M00562 - pUrvAmnAyanityadevArcanavidhi.htm,pUrvAmnAyanityadevArcanavidhi_M00562.xml,M00562,Pūrvāmnāyanityadevārcanavidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00562,,,,,incomplete,,,,,,,"['tantra / āgama', 'Paddhati']",,,,iti pūrvvāmnāya nityakarmmadevārccanabalyārccanavidhi samāpta,in middle
M00259 - pauSkara saMhitA.htm,pauSkara_saMhitA_M00259.xml,M00259,Pauṣkara Saṃhitā,,,,https://muktabodha-digital-library.org/texts/IAST/M00259,Śrī Yātirāja Sampatkumāra Rāmānujamuni,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantra / āgama', 'vaiṣṇava', 'pāñcarātra']",,,,iti śrīpāñcarātre mahopaniṣadi pauṣkarasaṃhitāyāṃ śiṣyaparīkṣālakṣaṇo nāma prathamo'dhyāyaḥ,at beginning
M00196 - jJAnaprakAzAcArya - pauSkaravRtti.htm,jJAnaprakAzAcArya_pauSkaravRtti_M00196.xml,M00196,Pauṣkara Vṛtti,,Jñānaprakāśa,mbP0052,https://muktabodha-digital-library.org/texts/IAST/M00196,,,,,,7 chapters,,"Daṣakāryam, Pauṣkarajñānapadaḥ, And Prāsādaṣaṭślokī",M00359,commentary,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",colophon,Jñānaprakāśa Ācarya,colophon,iti śrīśālivāṭipuranivāsi jñānaprakāśācārya viracitāyāṃ śrīmatpauṣkarajñānapādavṛttau saptamaḥ paṭalaḥ /// 965 saumya saṃvatsara paṅkuni (...) śubhayogam ṭettapauṣkaraṃ śrīśālivāṭipurivāsinaḥ śālivāṭīśvarasya kaikaryaṃ vrahivratinātaśarman putran śrīkṛṣṇan svahasta likhitam | śubham | śrīkāntimatyaṃbāsameta śrīśālivāṭīśvarasvāmī sahāyam | śivamayam || + EXTRA TEXT AFTER,
M00065 - pratiSThAlakSaNasArasamuccaya.htm,pratiSThAlakSaNasArasamuccaya_M00065.xml,M00065,Pratiṣṭhālakṣaṇasārasamuccaya,,,,https://muktabodha-digital-library.org/texts/IAST/M00065,,,,,,,,,,,,['tantric / āgamic literature'],,,,iti śrī (pratiṣṭhātantre) pratiṣṭhālakṣaṇasārasamuccaye pavitrārohaṇaṃ nāma dvātriṃśo vidhiḥ || samāpto'yaṃ granthaḥ ||  śivam,
M00561 - pratyaMgirApUjAvidhi.htm,pratyaMgirApUjAvidhi_M00561.xml,M00561,Pratyaṃgirāpūjāvidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00561,,,,,incomplete,,,,,,,"['tantra / āgama', 'Paddhati']",,,,no,
M00350 - pratyabhijJahRdaya text version.htm,pratyabhijJahRdaya_text_version_M00350.xml,M00350,Pratyabhijñahṛdaya,,Kṣemarāja,mbP0049,https://muktabodha-digital-library.org/texts/IAST/M00350,Chatterji J C,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",colophon,,,samāptamidaṃ pratyabhijñāhṛdayam || kṛtistatrabhavanmahāmāheśvarācāryavaryaśrīmadabhi(...) || śubhamastu,
M00621 - prabhuliGgalila.htm,prabhuliGgalila_M00621.xml,M00621,Prabhuliṅgalila,,,,https://muktabodha-digital-library.org/texts/IAST/M00621,,,,,,25 chapters,,,,,,"['śaiva', 'vīraśaiva']",,,,ityārṣaśrībhaviṣyatpurāṇakathāviśālāyāṃ śrīvīramāheśvarāmṛtānaṃdasūktisūtragrathitapaṃcaviṃśatitatvamauktikam ahanīyamālāyāṃ pramathagaṇavacanaparaṃparānukūlāyāṃ kalikalmaṣanimagnajanasamuddharaṇaśīlāyāṃ prabhuliṃgalīlāyāṃ parameśvaraprasādasaṃprāptamaheśvarīmanaḥsamādhānavīraśaivamahimānusaṃ dhānaprastutakathopasaṃhṛtikathanagatirnāma paṃcaviṃśo'dhyāyaḥ | śrīparameśvarārpaṇamastu | śrīnaṃdikeśvarāya namaḥ |,
M00072 - rAmatoSaNa compiler - prANatoSiNI arthakANDa.htm,rAmatoSaNa_compiler_prANatoSiNI_arthakANDa_M00072.xml,M00072,Prāṇatoṣiṇī Arthakāṇḍa,,Rāmatoṣaṇa,mbP0053,https://muktabodha-digital-library.org/texts/IAST/M00072,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇakṛṣṇaviśvāsānumatāyāṃ śrīrāmatoṣaṇavidyālaṅkārabhaṭṭācāryyaviracitayāṃ śrīprāṇatoṣiṇyāṃ tṛtīyamarthakāṇḍāṅgaṃ samāptam,
M00073 - rAmatoSaNa compiler - prANatoSiNI kamyakANDa.htm,rAmatoSaNa_compiler_prANatoSiNI_kamyakANDa_M00073.xml,M00073,Prāṇatoṣiṇī Kamyakāṇḍa,,Rāmatoṣaṇa,mbP053,https://muktabodha-digital-library.org/texts/IAST/M00073,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",colophon,Śrī Rāmatoṣaṇavidyālaṅkāra Bhaṭṭācārya,colophon,iti prāṇakṛṣṇaviśvāsānumatāyāṃ śrīrāmatoṣaṇavidyālaṅkārabhaṭṭācāryyaviracitāyāṃ śrīprāṇatoṣiṇyāṃ kāmyābhidhānaṃ caturthakāṇḍaṃ samāptam,
M00071 - rAmatoSaNa compiler - prANatoSiNI dharmakANDa.htm,rAmatoSaNa_compiler_prANatoSiNI_dharmakANDa_M00071.xml,M00071,Prāṇatoṣiṇī Dharmakāṇḍa,,Rāmatoṣaṇa,mbP0053,https://muktabodha-digital-library.org/texts/IAST/M00071,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇakṛṣṇaviśvāsānumatāyāṃ śrīrāmatoṣaṇavidyālaṅkārabhaṭṭācāryyacāviracitāyāṃ śrīprāṇatoṣiṇyāṃ dīkṣārūpaphalakathanātmakaṣaṣṭha-parichedānvitadharmakāṇḍaṃ samāptam,
M00061 - rAmatoSaNa compiler - prANatoSiNI part 6.htm,rAmatoSaNa_compiler_prANatoSiNI_part_6_M00061.xml,M00061,Prāṇatoṣiṇī Jñānakāṇḍa,,Rāmatoṣaṇa,mbP0053,https://muktabodha-digital-library.org/texts/IAST/M00061,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇatoṣiṇī samāptā,
M00060 - rAmatoSaNa compiler - prANatoSiNI bhaktikANDa.htm,rAmatoSaNa_compiler_prANatoSiNI_bhaktikANDa_M00060.xml,M00060,Prāṇatoṣiṇī Bhaktikāṇḍa,,Rāmatoṣaṇa,mbP0053,https://muktabodha-digital-library.org/texts/IAST/M00060,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇatoṣiṇyāṃ pañcame bhaktikāṇḍe śivaprakaraṇakathanarūpastṛtīyaḥ paricchedaḥ,
M00070 - rAmatoSaNa compiler - prANatoSiNI sargakANDa.htm,rAmatoSaNa_compiler_prANatoSiNI_sargakANDa_M00070.xml,M00070,Prāṇatoṣiṇī Sargakāṇḍa,,Rāmatoṣaṇa,mbP0053,https://muktabodha-digital-library.org/texts/IAST/M00070,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇakṛṣṇaviśvāsānumatāyāṃ viśvavijayiśrīrāmatoṣaṇavidyālaṅkāraviracitāyāṃ śrīprāṇatoṣiṇyāṃ phalakathanarūpadaśamaparicchedānvitaṃ sargakāṇḍaṃ samāptam,
M00268 - prANAgnihotra.htm,prANAgnihotra_M00268.xml,M00268,Prāṇāgnihotra,,,,https://muktabodha-digital-library.org/texts/IAST/M00268,,,,,incomplete,,,,,,,['tantric / āgamic literature'],,,,no,
M00303 - prAyazcittasamuccaya.htm,prAyazcittasamuccaya_M00303.xml,M00303,Prāyaścittasamuccaya,,,,https://muktabodha-digital-library.org/texts/IAST/M00303,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",,,,prāyaścittasamuccayaḥ samāptamiti,
M00528 - jJAnaprakAza - prAsAdacandrikA.htm,jJAnaprakAza_prAsAdacandrikA_M00528.xml,M00528,Prāsādacandrikā,,Jñānaprakāśa,mbP0052,https://muktabodha-digital-library.org/texts/IAST/M00528,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",colophon,Jyeṣṭha Jñānaprakāśa Vara Ācārya,colophon,iti śrīmatkalālayadevatīrthasya uttarataṭe nivāsi jyeṣṭhajñānaprakāśavarācārye tasyāruṇadevena saṃgṛhītāyāṃ prāsādacandrikāyāṃ mātrājyotīkāraṇeśvara sthānam ānādhvasamarasī bhāva viṣuvaśabdayojanavidhānavidhissamāptaḥ || śrīmadarūṇācalāya namaḥ || asmiṃśca kośe prāsādacandrikayā saha tatvasiddhāntavyākhyā siddhāntaprakāśikā daśakāryaṃ ṣaḍadhvatriṃśatkalānyāsaḥ puruṣārthasudhānidhiḥ suprabhedāgamaḥ iti nāmakā vilikhitā vartante,
M00529 - prAsAdaSaTzlokIvyAkhyA.htm,prAsAdaSaTzlokIvyAkhyA_M00529.xml,M00529,Prāsādaṣaṭślokī Vyākhyā,,,,https://muktabodha-digital-library.org/texts/IAST/M00529,,,,,,"yes, but second part of text unclear",colophon,,ilxM00044,commentary,including the mūla,['tantric / āgamic literature'],,,,yathāmati gaṇādhīśa kṛpāleśānmayādhunā | śrīmatprāsāda saṭślokyā vyākhyānaṃ likhyate laghu /// iti ṣaṭślokaṃ vyākhyanaṃ samāptaḥ + additional text,towards beginning /// in middle
M00256 - prodgItAgama.htm,prodgItAgama_M00256.xml,M00256,Prodgītāgama,vivāhavidhimātram,,,https://muktabodha-digital-library.org/texts/IAST/M00256,,,,,fragments,fragments (ch.25-26 only),,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,iti prodgīte vivāhavidhirnāma ṣaḍviṃśati paṭalaḥ,
M00414 - pheTakapratiSThAcaNDikAgnividhi.htm,pheTakapratiSThAcaNDikAgnividhi_M00414.xml,M00414,Pheṭakapratiṣṭhācaṇḍikāgnividhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00414,,,,,,,,,,,,"['tantra / āgama', 'śākta']",,,,atha pheṭakapratiṣṭhāvidhi likhyate ///  śrī caṇḍikāgni yajñavidhi saṃpūrṇaḥ,at beginning /// at end
M00190 - phetkAriNItantra.htm,phetkAriNItantra_M00190.xml,M00190,Phetkāriṇītantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00190,"Caṭṭopādhyāya, Rasika Mohana",,,,,,,,,,,['tantric / āgamic literature'],,,,iti śrīphetkāriṇītantre devīśvarasaṃvāde ceṭikāsādhanaṃ nāma ekaviṃśatitamaḥ paṭalaḥ samāptaḥ || samāptaścāyaṃ granthaḥ,
M00623 - bagalAmukhIpaJcAGgam.htm,bagalAmukhIpaJcAGgam_M00623.xml,M00623,Bagalāmukhīpañcāṅgam,,,,https://muktabodha-digital-library.org/texts/IAST/M00623,,,,,,,,,,,,['śaiva'],,,,itiśrīrudrayāmaletaṃtrebagalāmukhīstavarājaḥ saṃpūrṇa samāptaśca,
M00520 - zrIbAdarAyanamahaRSi attribute to - basavapurANa.htm,zrIbAdarAyanamahaRSi_attribute_to_basavapurANa_M00520.xml,M00520,Basavapurāṇa,,Śrī Bādarāyana Mahaṛṣi,mbP0054,https://muktabodha-digital-library.org/texts/IAST/M00520,,,,,,,,,,,,"['śaiva', 'vīraśaiva']",colophon,,,iti śrībādarāyaṇamaharṣipraṇīte śrībasaveśvarapurāṇe svarūpagraṃthe paramarahasye skaṃdāgastyasaṃvāde tricatvāriṃśo'dhyāyaḥ śrībasaveśvarapurāṇaṃ saṃpūrṇaṃ,
M00116 - bRhannIlatantra.htm,bRhannIlatantra_M00116.xml,M00116,Bṛhannīlatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00116,Kaul Madhusudan,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,iti śrībṛhannīlatantre sarvatantrottamottame bhairavabhairavīsaṃvāde (annadāmantroddhāraśatanāmatantramāhātmyanirūpaṇaṃ) caturviṃśaḥ paṭalaḥ || samāptaṃ cedaṃ śrībṛhannīlatantram + TILAKA,
M00173 - abhinavagupta - bodhapaJcadazikA.htm,abhinavagupta_bodhapaJcadazikA_M00173.xml,M00173,Bodhapañcadaśikā Vivaraṇa,,Harabhaṭṭa Śāstrī,mbP0129,https://muktabodha-digital-library.org/texts/IAST/M00173,Zadoo Jagaddhar,,,,,,colophon,,ilxM00045,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",colophon,,,ime'bhinavaguptena ślokāḥ pañcadaśoditāḥ || iti bodhapañcadaśikā samāptā || sukumāramatayo mandaśaktipātavantaḥ ajasa sukhena spaṣṭamanyat || yāṃ bodhapañcadaśikāṃ matimāndyabhājāṃ sambodhanāya nivabandha guruḥ suramyām | māheśvaro'bhinavagupta itīḍyanāmā tatra vyadhādvyavaraṇaṃ harabhaṭṭaśāstrī || bhūnandanandavede'bde (4990) laukike phālgunevadī | ekādaśyāṃ tithau śāstrī haro vivaraṇaṃ vyadhāt || iti śrīmahāmāheśvarācāryavaryaṃ śrīmadabhinavaguptaviracitāyāṃ bodhapañcadaśikāyāṃ paṃ(0) harabhaṭṭaśāstrikṛtaṃ vivaraṇaṃ samāptam] ||,
I00017 - bodhAyanaprayoga.htm,bodhAyanaprayoga_I00017.xml,I00017,Bodhāyanaprayoga,,,,https://muktabodha-digital-library.org/texts/IAST/I00017,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,bodhāyana-āhnikam - pañcākṣaranāthaviracitanityakarmaparicchedaḥ - bodhāyanamantrapraśnaḥ,at beginning
M00319 - brahmayAmala.htm,brahmayAmala_M00319.xml,M00319,Brahmayāmala,,,,https://muktabodha-digital-library.org/texts/IAST/M00319,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva']",,,,iti brahmayāmale śatasahasrasaṃhitāyāṃ mātrotsavo nāma prathamaḥ paṭalaḥ /// iti brahmayāmale śatasahasrasaṃhitāyāṃ nāgapāśavidhirnāma pañcāśatpaṭalaḥ,almost at beginning /// towards end
M00105 - brahmavidyopaniSat.htm,brahmavidyopaniSat_M00105.xml,M00105,Brahmavidyopaniṣat Vivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00105,Śāstrī Mahādeva,,,,,,colophon,Brahmavidya Upaniṣat,ilxM00046,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | brahmavidyopaniṣado vyākhyeyaṃ likhitā laghu | prakṛtopaniṣadvyākhyā saptatyadhiśatadvayam || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe catvāriṃśatsaṃkhyāpūrakaṃ brahmavidyopaniṣadvivaraṇaṃ saṃpūraṇam,
M00262 - brahmasandhAna.htm,brahmasandhAna_M00262.xml,M00262,Brahmasandhāna,,,,https://muktabodha-digital-library.org/texts/IAST/M00262,,,,,incomplete,,,,,,,['tantric / āgamic literature'],,,,iti śrībrahmasandhānāgni( * )jā( * )cā( * )ni( * )yo( * )mā,at end
M00013 - kRSNAnanda AgamavAgiza - bRhattantrasAra.htm,kRSNAnanda_AgamavAgiza_bRhattantrasAra_M00013.xml,M00013,Bṛhattantrasāra Vṛtti,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00013,Caṭṭopādhyāya,,,,,,*,Tantrasāra,ilxM00047,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",catalog,,,iti mahāmahopādhyāyaśrīkṛṣṇānandāgamavāgīśaviracite tantrasāre prathamaḥ paricchedaḥ /// granthagauravabhayādanyanyoktam iti devatāyā vāhyāṅgasaṅketaḥ | pariśiṣṭaṃ sampūrṇa,almost at beginning /// at end
I00013 - bhaktavilAsa.htm,bhaktavilAsa_I00013.xml,I00013,Bhaktavilāsa,,Agastya Ṛṣi,,https://muktabodha-digital-library.org/texts/IAST/I00013,,,,,incomplete,,,,,,,"['śaiva', 'śaiva-siddhānta']",,,,iti śrīskāndapurāṇe bhaktamāhātmye dvitīyoddhyāyaḥ,almost at beginning
M00244 - bhagavadgItA.htm,bhagavadgItA_M00244.xml,M00244,Bhagavadgītā Gītārthasaṃgraha,,Abhinavagupta,mbP0017,https://muktabodha-digital-library.org/texts/IAST/M00244,Lakṣmaṇa Ṛaina Brahmacārī,,,,,,colophon,,ilxM00048,commentary,including the mūla,['tantric / āgamic literature'],colophon,,,iti śrīmahāmaheśvarācāryavaryarājānakābhinavaguptapādaviracite śrīmadbhagavadgītārthasaṃgrahe'ṣṭādaśo'dhyāyaḥ + 4 additional verses /// paripūrṇo'yaṃ śrīmadbhagavadgītārthasaṃgrahaḥ | kṛtistrinayanacaraṇasaroruha cintanalabdhaprasiddherabhinavaguptasyeti śivam,
M00167 - bhagavadgItA.htm,bhagavadgItA_M00167.xml,M00167,Bhagavadgītā Sarvatobhadra,,Ramakaṇṭha,mbP0013,https://muktabodha-digital-library.org/texts/IAST/M00167,Śāstrī Kṛṣṇa,,,,incomplete,lacking explicit + final colophon (14 chapters),colophon,,ilxM00048,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva']",colophon,,,iti śrīmadrājānakarāmakaṇṭhaviracite vākyārthānvayamātre sarvatobhadranāmni bhagavadgītāvivaraṇe caturdaśo'dhyāyaḥ,
M00330 - siddapparadhya Dr.t. g. - bhagavadgItA.htm,siddapparadhya_Dr.t._g._bhagavadgItA_M00330.xml,M00330,Bhagavadgītā Vīraśaiva Bhāṣya,,Siddapparadhya ( In Text: Śrīpatipaṇḍitārādhya?) - See Text N. M00364 (Line N.451 ) And Author Code Mbp0084,mbP0140,https://muktabodha-digital-library.org/texts/IAST/M00330,,,,,,,colophon,,ilxM00048,commentary,including the mūla,['śaiva'],catalog,,,iti bhagavadgītāvīraśaivabhāṣye aṣṭādaśo'dhyāyassamāptaḥ,
I00011 - bhadrakAlipratiSThAvidhi yAmalatantra.htm,bhadrakAlipratiSThAvidhi_yAmalatantra_I00011.xml,I00011,Bhadrakālipratiṣṭhāvidhi Yāmalatantra,,,,https://muktabodha-digital-library.org/texts/IAST/I00011,,,,,uncertain,??? lacking explicit+final colophon,,,,,,"['śaiva', 'śaiva-siddhānta', 'Paddhati']",,,,iti yāmalāgame bhadrakālipratiṣṭhāvidhiḥ,almost at end
M00277 - vidyAkaNTha - bhAvacUDAmaNi.htm,vidyAkaNTha_bhAvacUDAmaNi_M00277.xml,M00277,Bhāvacūḍāmaṇi,,Vidyākaṇṭha,mbP0055,https://muktabodha-digital-library.org/texts/IAST/M00277,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Catalog,,,yadyapi nānāvidhāni sādhanopāyāni likhitāni tathāpi bhāvena vinā maṃtrā na siddhyantīti bhāvacūḍāmaṇir likhyate,at beginning
M00575 - bhAvacUDAmaNi.htm,bhAvacUDAmaNi_M00575.xml,M00575,Bhāvacūḍāmaṇi,,Vidyākaṇṭha,mbP0055,https://muktabodha-digital-library.org/texts/IAST/M00575,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",Catalog,,,iti śrīmahāmaheśvareṇakṛtaṃ bhāvacūḍāmaṇīṃ nāma taṃtraṃ samāptam || saṃpūrṇaṃ samāptam || śubhamastu,
M00630 - bhuvanezvarI paJcAGgam rudrayAmale.htm,bhuvanezvarI_paJcAGgam_rudrayAmale_M00630.xml,M00630,Bhuvaneśvarī Pañcāṅgam Rudrayāmale,,,,https://muktabodha-digital-library.org/texts/IAST/M00630,,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",,,,itiśrīrudrayāmaletantredaśavidyārahasyeśrībhuvaneśvarīstavaḥ samāptamidaṃśrībhuvaneśvarīpaṃcāṅgamiti śubhaṃbhavatu saṃtatakāśutiṣaṣṭyāṃparatāsaptamyāṃbhaume likhitaṃmayāraiānandenasvatmārthaṃśubhaṃ,
