sub_folder,file,title,author,url,best_text,duplicate_of_standard
darśanāni,nirvāṇaṣaṭkam.xml,Nirvāṇaṣaṭka,,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%A3%E0%A4%B7%E0%A4%9F%E0%A5%8D%E0%A4%95%E0%A4%AE%E0%A5%8D,,
darśanāni,nyāyadīpikā.xml,Nyāyadīpikā,,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%A6%E0%A5%80%E0%A4%AA%E0%A4%BF%E0%A4%95%E0%A4%BE,,
darśanāni,nyāyakalāpasaṅgrahaḥ.xml,Nyāyakalāpasaṅgraha,,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%95%E0%A4%B2%E0%A4%BE%E0%A4%AA%E0%A4%B8%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A4%B9%E0%A4%83,,
darśanāni,nyāyamuktāvalī.xml,Nyāyamuktāvalī,,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%AE%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%B5%E0%A4%B2%E0%A5%80,,
darśanāni,nyāyasiddhāntamuktāvalī.xml,Nyāyasiddhāntamuktāvalī,Viśvanāthapañcānana,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%B8%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%AE%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%B5%E0%A4%B2%E0%A5%80,,
darśanāni,parāprāveśikā.xml,Parāprāveśikā,,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B5%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%E0%A4%BE,,
darśanāni,pañcadaśī.xml,Pañcadaśī,Vidyāraṇya,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A4%A6%E0%A4%B6%E0%A5%80,,
darśanāni,pañcapādikāvivaraṇam.xml,Pañcapādikāvivaraṇa,Śrīprakāśātmayati,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A4%AA%E0%A4%BE%E0%A4%A6%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A4%A3%E0%A4%AE%E0%A5%8D,,
darśanāni,pañcīkaraṇam.xml,Pañcīkaraṇa,,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A5%80%E0%A4%95%E0%A4%B0%E0%A4%A3%E0%A4%AE%E0%A5%8D,,
darśanāni,prabodhasudhākaraḥ.xml,Prabodhasudhākara,,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AC%E0%A5%8B%E0%A4%A7%E0%A4%B8%E0%A5%81%E0%A4%A7%E0%A4%BE%E0%A4%95%E0%A4%B0%E0%A4%83,,
